Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/,1481,797,2200.0,4704.428734944651,51.5294580036425,41132.11025000055,47.10871033085753,1.3716742778874647,0.7381663737179671,2200,6100,7900,8000,8000,18000,31000,38000,41000,41000,41000
GET,/cpu?intensity=low,6025,3081,2300.0,4812.20367244121,49.28170800121734,41445.30150000355,64.44780082987552,5.580241407340968,2.8535641122020783,2300,6100,8000,8000,8000,20000,31000,38000,41000,41000,41000
,Aggregated,7506,3878,2300.0,4790.938726740118,49.28170800121734,41445.30150000355,61.02664535038636,6.951915685228433,3.5917304859200456,2300,6100,8000,8000,8000,20000,31000,38000,41000,41000,41000
